ano;cod_ies;nome_ies;sigla_ies;categoria_adm;organizacao_acad;uf;igc_continuo;igc_faixa;nome_google_place;latitude;longitude;endereco;endereco_detalhe
2018;2521;INSTITUTO SUPERIOR DE EDUCAÇÃO DO SUL DO PIAUÍ;ISESPI;Privada com fins lucrativos;Faculdade;PI;1,82718;2;INSTITUTO SUPERIOR DE EDUCAÇÃO DO SUL DO PIAUÍ;-8.1104452;-42.9490723;R. Coelho Neto, 490, Canto do Buriti - PI, 64890-000, Brasil;V3Q2+R9 Bairro do Aeroporto, Canto do Buriti - PI
2018;2530;FACULDADE DE GUARULHOS;FAG;Privada com fins lucrativos;Faculdade;SP;2,27562;3;Faculdade de Guarulhos - Grupo Universidade Brasil;-23.4836593;-46.5431752;Av. Guarulhos, 1844 - Vila Augusta, Guarulhos - SP, 07025-000, Brasil;GF84+GP Vila Augusta, Guarulhos - SP
2018;2532;FACULDADE DO SUDESTE GOIANO;FASUG;Privada com fins lucrativos;Faculdade;GO;2,3364;3;FASUG;-17.2998425;-48.2842687;Av. Lino Sampaio, 79 - Centro, Pires do Rio - GO, 75200-000, Brasil;PP28+37 Centro, Pires do Rio - GO
2018;2536;FACULDADE RORAIMENSE DE ENSINO SUPERIOR;FARES;Privada com fins lucrativos;Faculdade;RR;1,73411;2;FARES - Faculdade Roraimense de Ensino Superior;2.8277727;-60.6594795;R. Pres. Juscelino Kubitscheck, 300 - Canarinho, Boa Vista - RR, 69306-535, Brasil;R8HR+46 Canarinho, Boa Vista - RR
2018;2537;FACULDADE SÃO GERALDO;FSG;Privada com fins lucrativos;Faculdade;ES;4,07891;5;Faculdade SAO GERALDO;-20.3442793;-40.3802238;São Geraldo, Cariacica - ES, 29140-000, Brasil;MJ49+7W São Geraldo, Cariacica - ES
2018;2538;FACULDADE VENDA NOVA DO IMIGRANTE;FAVENI;Privada com fins lucrativos;Faculdade;ES;3,33427;4;Faculdade Faveni;-20.3266316;-41.1332484;Av. Ângelo Altoé, 888, Venda Nova do Imigrante - ES, 29375-000, Brasil;MVF8+8P Venda Nova do Imigrante, ES
2018;2548;FACULDADE DE TEOLOGIA, FILOSOFIA E CIÊNCIAS HUMANAS GAMALIEL;FATEFIG;Privada com fins lucrativos;Faculdade;PA;2,12821;3;R. Gamaliel Bueno Galvão - Guaíra;-25.471806;-49.2688914;R. Gamaliel Bueno Galvão - Guaíra, Curitiba - PR, 82590-300, Brasil;
2018;2553;Faculdade Dom Pedro II - Luis Eduardo Magalhães;FDP II LEM;Privada com fins lucrativos;Faculdade;BA;3,31024;4;Faculdade Dom Pedro II - LEM;-12.0872555;-45.80224;R. Rui Barbosa, 750 - Lot. Mimoso Doeste I, Luís Eduardo Magalhães - BA, 47850-000, Brasil;W57X+34 Lot. Mimoso Doeste I, Luís Eduardo Magalhães - BA
2018;2554;FACULDADE DE EDUCAÇÃO SANTA TEREZINHA;FEST;Privada com fins lucrativos;Faculdade;MA;2,31585;3;Faculdade de Educação Santa Terezinha;-5.5460558;-47.4767581;Av. Perimetral, 481 - Parque do Buriti, Imperatriz - MA, 65907-230, Brasil;FG3F+H7 Parque do Buriti, Imperatriz - MA
2018;2556;FIAM-FAAM - CENTRO UNIVERSITÁRIO;UNIFIAM-FAAM;Privada sem fins lucrativos;Centro Universitário;SP;2,6848;3;FIAMFAAM- Campus Vila Mariana;-23.5890132;-46.6338962;Av. Lins de Vasconcelos, 3406 - Vila Mariana, São Paulo - SP, 04112-002, Brasil;C968+9C Vila Mariana, São Paulo - SP
