Ano;Region;CumulativeFoundedStartups;CumulativeFoundedStartupsY1;CumulativeClosedStartups;CumulativeClosedStartupsY1;QuantityStartups;GrowingTaxStartups;CumulativeTotalFundingAmountUSD;CumulativeTotalFundingAmountUSDY1;GrowingTaxUSD
2017;Norte;74;61;0;0;74;0.2131;12796.00;12796.00;0.000000
2017;Sudeste;3491;3095;31;28;3460;0.1281;7155405517.00;7155405517.00;0.000000
2017;Sul;1270;1079;9;7;1261;0.1763;239945650.00;239945650.00;0.000000
2018;Centro-oeste;142;120;1;0;141;0.1750;7345607.00;7345607.00;0.000000
2018;Nordeste;194;172;0;0;194;0.1279;2264222.00;2264222.00;0.000000
2018;Norte;82;74;0;0;82;0.1081;12796.00;12796.00;0.000000
2018;Sudeste;3786;3491;50;31;3736;0.0798;7249031732.00;7249031732.00;0.000000
2018;Sul;1366;1270;15;9;1351;0.0714;240198455.00;240198455.00;0.000000
2019;Centro-oeste;142;142;1;1;141;0.0000;7345607.00;7345607.00;0.000000
2019;Nordeste;194;194;0;0;194;0.0000;2264222.00;2264222.00;0.000000
2019;Norte;82;82;0;0;82;0.0000;12796.00;12796.00;0.000000
2019;Sudeste;3798;3786;51;50;3747;0.0029;7250739113.00;7250739113.00;0.000000
2019;Sul;1370;1366;15;15;1355;0.0030;240224707.00;240224707.00;0.000000
