Name;State;Region;Ano;IDHM;"IDHM Educacao";"IDHM Longividade";"IDHM Renda"
"Porto Walter";Acre;Norte;2010;0.532;0.397;0.726;0.521
"Rio Branco";Acre;Norte;1991;0.485;0.259;0.684;0.643
"Rio Branco";Acre;Norte;2000;0.591;0.423;0.724;0.673
"Rio Branco";Acre;Norte;2010;0.727;0.661;0.798;0.729
"Rodrigues Alves";Acre;Norte;1991;0.245;0.061;0.622;0.386
"Rodrigues Alves";Acre;Norte;2000;0.399;0.220;0.644;0.449
"Rodrigues Alves";Acre;Norte;2010;0.567;0.477;0.736;0.518
"Santa Rosa do Purus";Acre;Norte;1991;0.167;0.019;0.643;0.378
"Santa Rosa do Purus";Acre;Norte;2000;0.277;0.084;0.701;0.359
"Santa Rosa do Purus";Acre;Norte;2010;0.517;0.340;0.781;0.519
"Senador Guiomard";Acre;Norte;1991;0.354;0.123;0.677;0.535
"Senador Guiomard";Acre;Norte;2000;0.488;0.275;0.724;0.583
"Senador Guiomard";Acre;Norte;2010;0.640;0.513;0.786;0.649
"Sena Madureira";Acre;Norte;1991;0.317;0.102;0.647;0.483
"Sena Madureira";Acre;Norte;2000;0.451;0.240;0.723;0.527
"Sena Madureira";Acre;Norte;2010;0.603;0.456;0.810;0.593
Tarauacá;Acre;Norte;1991;0.274;0.075;0.611;0.450
Tarauacá;Acre;Norte;2000;0.386;0.183;0.644;0.488
Tarauacá;Acre;Norte;2010;0.539;0.392;0.720;0.554
Xapuri;Acre;Norte;1991;0.348;0.131;0.646;0.496
Xapuri;Acre;Norte;2000;0.445;0.230;0.711;0.540
Xapuri;Acre;Norte;2010;0.599;0.448;0.773;0.621
"Porto Acre";Acre;Norte;1991;0.259;0.061;0.622;0.457
"Porto Acre";Acre;Norte;2000;0.443;0.239;0.685;0.531
"Porto Acre";Acre;Norte;2010;0.576;0.418;0.771;0.593
Alvarães;Amazonas;Norte;1991;0.306;0.092;0.640;0.487
Alvarães;Amazonas;Norte;2000;0.373;0.153;0.673;0.504
Alvarães;Amazonas;Norte;2010;0.527;0.377;0.778;0.499
Amaturá;Amazonas;Norte;1991;0.254;0.064;0.599;0.425
Amaturá;Amazonas;Norte;2000;0.413;0.233;0.694;0.436
Amaturá;Amazonas;Norte;2010;0.560;0.455;0.773;0.499
Anamã;Amazonas;Norte;1991;0.307;0.097;0.590;0.504
Anamã;Amazonas;Norte;2000;0.408;0.209;0.634;0.514
Anamã;Amazonas;Norte;2010;0.594;0.526;0.741;0.537
Anori;Amazonas;Norte;1991;0.357;0.157;0.595;0.489
Anori;Amazonas;Norte;2000;0.428;0.231;0.675;0.502
Anori;Amazonas;Norte;2010;0.561;0.433;0.757;0.540
Apuí;Amazonas;Norte;1991;0.322;0.099;0.622;0.542
Apuí;Amazonas;Norte;2000;0.437;0.221;0.681;0.556
Apuí;Amazonas;Norte;2010;0.637;0.540;0.772;0.621
"Atalaia do Norte";Amazonas;Norte;1991;0.246;0.058;0.640;0.399
"Atalaia do Norte";Amazonas;Norte;2000;0.348;0.135;0.665;0.469
"Atalaia do Norte";Amazonas;Norte;2010;0.450;0.259;0.733;0.481
Autazes;Amazonas;Norte;1991;0.357;0.140;0.640;0.507
Autazes;Amazonas;Norte;2000;0.420;0.214;0.699;0.494
Autazes;Amazonas;Norte;2010;0.577;0.446;0.799;0.539
Barcelos;Amazonas;Norte;1991;0.317;0.100;0.615;0.518
Barcelos;Amazonas;Norte;2000;0.384;0.154;0.693;0.531
Barcelos;Amazonas;Norte;2010;0.500;0.315;0.728;0.545
Barreirinha;Amazonas;Norte;1991;0.293;0.093;0.620;0.438
Barreirinha;Amazonas;Norte;2000;0.399;0.210;0.693;0.437
Barreirinha;Amazonas;Norte;2010;0.574;0.522;0.774;0.469
"Benjamin Constant";Amazonas;Norte;1991;0.300;0.107;0.622;0.404
"Benjamin Constant";Amazonas;Norte;2000;0.389;0.188;0.679;0.462
"Benjamin Constant";Amazonas;Norte;2010;0.574;0.471;0.763;0.526
Beruri;Amazonas;Norte;1991;0.272;0.081;0.590;0.420
Beruri;Amazonas;Norte;2000;0.340;0.134;0.642;0.455
Beruri;Amazonas;Norte;2010;0.506;0.346;0.731;0.512
"Boa Vista do Ramos";Amazonas;Norte;1991;0.287;0.089;0.599;0.445
"Boa Vista do Ramos";Amazonas;Norte;2000;0.372;0.191;0.648;0.416
"Boa Vista do Ramos";Amazonas;Norte;2010;0.565;0.484;0.750;0.496
"Boca do Acre";Amazonas;Norte;1991;0.288;0.078;0.635;0.484
"Boca do Acre";Amazonas;Norte;2000;0.401;0.189;0.669;0.510
"Boca do Acre";Amazonas;Norte;2010;0.588;0.455;0.777;0.576
Borba;Amazonas;Norte;1991;0.305;0.100;0.576;0.491
Borba;Amazonas;Norte;2000;0.389;0.176;0.654;0.510
Borba;Amazonas;Norte;2010;0.560;0.425;0.776;0.532
Caapiranga;Amazonas;Norte;1991;0.258;0.057;0.622;0.482
Caapiranga;Amazonas;Norte;2000;0.403;0.209;0.665;0.472
Caapiranga;Amazonas;Norte;2010;0.569;0.436;0.775;0.544
Canutama;Amazonas;Norte;1991;0.212;0.037;0.576;0.449
