Founder;GrauAcademico;BeginYear;EndYear;Momento;NomeIES;SiglaIES;Categoria;OrganizacaoAcademica;IGCContinuo;IGCFaixa;LatitudeIES;LongitudeIES;CidadeIES;EstadoIES;RegiaoIES;EhCidadeIESCapital;OrganizationID;AnoCriacao;LatitudeStartup;LongitudeStartup;P;CidadeStartup;EstadoStartup;EhCidadeStartupCapital;RegiaoStartup
5eb22bb9a7e8c4bce173f559;Graduação;2010;2014;Antes;"CENTRO UNIVERSITÁRIO CURITIBA";UNICURITIBA;Privada;"Centro Universitário";3.056480000000000000;4;-25.450375700000000000;-49.271848000000000000;Curitiba;Paraná;Sul;1;legal-hub;2018;-25.431278700000000000;-49.271848000000000000;NULL;Curitiba;Paraná;1;Sul
5eb22bb9a7e8c4bce173f559;Especialização;NULL;NULL;NULL;"UNIVERSIDADE POSITIVO";UP;Privada;Universidade;3.219530000000000000;4;-25.446390400000000000;-49.271848000000000000;Curitiba;Paraná;Sul;1;legal-hub;2018;-25.431278700000000000;-49.271848000000000000;NULL;Curitiba;Paraná;1;Sul
5eb22bbda7e8c4bce173f55b;Graduação;NULL;NULL;NULL;"UNIVERSIDADE FEDERAL DO PARANÁ";UFPR;Pública;Universidade;3.969940000000000000;5;-25.426908100000000000;-49.271848000000000000;Curitiba;Paraná;Sul;1;legal-hub;2018;-25.431278700000000000;-49.271848000000000000;NULL;Curitiba;Paraná;1;Sul
5eb22bbda7e8c4bce173f55b;Graduação;NULL;NULL;NULL;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ";PUCPR;Privada;Universidade;3.412940000000000000;4;-25.451866900000000000;-49.271848000000000000;Curitiba;Paraná;Sul;1;legal-hub;2018;-25.431278700000000000;-49.271848000000000000;NULL;Curitiba;Paraná;1;Sul
5eb22baba7e8c4bce173f549;Graduação;1999;2003;Antes;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS";PUC-CAMPINAS;Privada;Universidade;2.776580000000000000;3;-22.833585600000000000;-47.060156000000000000;Campinas;"São Paulo";Sudeste;0;leiturinha;2014;-21.785928400000000000;-46.566410000000000000;NULL;"Poços de Caldas";"Minas Gerais";0;Sudeste
5eb22ba6a7e8c4bce173f543;Graduação;2005;2008;Antes;"CENTRO UNIVERSITÁRIO NEWTON PAIVA";"NEWTON PAIVA";Privada;"Centro Universitário";2.871860000000000000;3;-19.941626800000000000;-43.926453000000000000;"Belo Horizonte";"Minas Gerais";Sudeste;1;lemon-inteligência;2015;-19.873468300000000000;-43.926453000000000000;NULL;"Belo Horizonte";"Minas Gerais";1;Sudeste
5eb22b9ba7e8c4bce173f537;Graduação;1995;1999;Antes;"UNIVERSIDADE ESTÁCIO DE SÁ";UNESA;Privada;Universidade;2.701880000000000000;3;-25.431711600000000000;-49.271848000000000000;Curitiba;Paraná;Sul;1;levee;2016;-23.570908600000000000;-46.570383000000000000;39.543248;"São Paulo";"São Paulo";1;Sudeste
5eb22b8ea7e8c4bce173f529;Graduação;2013;2018;Antes;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO";PUC-RIO;Privada;Universidade;3.839080000000000000;4;-22.979396600000000000;-43.227875000000000000;"Rio de Janeiro";"Rio de Janeiro";Sudeste;1;liber-educação;2018;-23.007805300000000000;-43.227875000000000000;534.146286;"Rio de Janeiro";"Rio de Janeiro";1;Sudeste
5eb22b8fa7e8c4bce173f52b;Graduação;2013;2018;Antes;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO";PUC-RIO;Privada;Universidade;3.839080000000000000;4;-22.979396600000000000;-43.227875000000000000;"Rio de Janeiro";"Rio de Janeiro";Sudeste;1;liber-educação;2018;-23.007805300000000000;-43.227875000000000000;534.146286;"Rio de Janeiro";"Rio de Janeiro";1;Sudeste
5eb22b92a7e8c4bce173f52d;Graduação;2012;2017;Antes;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO";PUC-RIO;Privada;Universidade;3.839080000000000000;4;-22.979396600000000000;-43.227875000000000000;"Rio de Janeiro";"Rio de Janeiro";Sudeste;1;liber-educação;2018;-23.007805300000000000;-43.227875000000000000;534.146286;"Rio de Janeiro";"Rio de Janeiro";1;Sudeste
5eb22b87a7e8c4bce173f51b;MBA;NULL;NULL;NULL;"UNIVERSIDADE FEDERAL DE SÃO CARLOS";UFSCAR;Pública;Universidade;4.036800000000000000;5;-21.983852100000000000;-47.889238000000000000;"São Carlos";"São Paulo";Sudeste;0;lifenroll;2015;-23.499323000000000000;-47.457853000000000000;NULL;Sorocaba;"São Paulo";0;Sudeste
5eb22b84a7e8c4bce173f517;MBA;NULL;NULL;NULL;"Universidade de São Paulo";USP;Pública;Universidade;NULL;NULL;-23.561399100000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b84a7e8c4bce173f517;MBA;NULL;NULL;NULL;"Universidade de São Paulo";USP;Pública;Universidade;NULL;NULL;-23.561399100000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b84a7e8c4bce173f517;MBA;NULL;NULL;NULL;"ESCOLA SUPERIOR NACIONAL DE SEGUROS";ESNS;Privada;Faculdade;3.376160000000000000;4;-25.453157300000000000;-49.271848000000000000;Curitiba;Paraná;Sul;1;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b84a7e8c4bce173f517;Graduação;NULL;NULL;NULL;"UNIVERSIDADE VILA VELHA";UVV;Privada;Universidade;3.479470000000000000;4;-20.354115600000000000;-40.293957000000000000;"Vila Velha";"Espírito Santo";Sudeste;0;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b84a7e8c4bce173f517;MBA;NULL;NULL;NULL;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL";PUCRS;Privada;Universidade;3.664940000000000000;4;-30.058925000000000000;-51.228660000000000000;"Porto Alegre";"Rio Grande do Sul";Sul;1;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b84a7e8c4bce173f517;MBA;NULL;NULL;NULL;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL";PUCRS;Privada;Universidade;3.664940000000000000;4;-30.058925000000000000;-51.228660000000000000;"Porto Alegre";"Rio Grande do Sul";Sul;1;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b84a7e8c4bce173f517;MBA;NULL;NULL;NULL;"Universidade de São Paulo";USP;Pública;Universidade;NULL;NULL;-23.561399100000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b84a7e8c4bce173f517;Mestrado;2019;2021;Depois;"Faculdade ISAE BRASIL";ISAE;Privada;Faculdade;2.243840000000000000;3;-25.437586900000000000;-49.271848000000000000;Curitiba;Paraná;Sul;1;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b84a7e8c4bce173f517;MBA;NULL;NULL;NULL;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL";PUCRS;Privada;Universidade;3.664940000000000000;4;-30.058925000000000000;-51.228660000000000000;"Porto Alegre";"Rio Grande do Sul";Sul;1;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b84a7e8c4bce173f517;MBA;NULL;NULL;NULL;"Universidade de São Paulo";USP;Pública;Universidade;NULL;NULL;-23.561399100000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b84a7e8c4bce173f517;Graduação;2019;2022;Depois;"UNIVERSIDADE VILA VELHA";UVV;Privada;Universidade;3.479470000000000000;4;-20.354115600000000000;-40.293957000000000000;"Vila Velha";"Espírito Santo";Sudeste;0;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b84a7e8c4bce173f517;MBA;NULL;NULL;NULL;"Universidade de São Paulo";USP;Pública;Universidade;NULL;NULL;-23.561399100000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b84a7e8c4bce173f517;Graduação;2003;2008;Antes;"UNIVERSIDADE VILA VELHA";UVV;Privada;Universidade;3.479470000000000000;4;-20.354115600000000000;-40.293957000000000000;"Vila Velha";"Espírito Santo";Sudeste;0;lifepet-saúde;2015;-20.316008800000000000;-40.322209000000000000;NULL;Vitória;"Espírito Santo";1;Sudeste
5eb22b62a7e8c4bce173f507;Graduação;2003;2007;Antes;"Universidade de São Paulo";USP;Pública;Universidade;NULL;NULL;-23.561399100000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;liga-ventures;2015;-23.562434000000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb22b64a7e8c4bce173f509;Graduação;2009;2012;Antes;"CENTRO UNIVERSITÁRIO PADRE ANCHIETA";UNIANCHIETA;Privada;"Centro Universitário";2.563700000000000000;3;-23.213669200000000000;-46.885274000000000000;Jundiaí;"São Paulo";Sudeste;0;liga-ventures;2015;-23.562434000000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
