City;IsCapital;State;StateAbbrev;Region;IDHM;IDHMEducacao;IDHMLongividade;IDHMRenda;PIB;PIBperCapita;Population;Atividade1;Atividade2;Atividade3;QuantityStartups;TotalFundingAmount;Geocode.lon;Geocode.lat
Natal;1;Rio Grande do Norte;RN;Nordeste;763;694;835;768;23454683; 26497.08;884122;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;12;0;-35.2009160; -5.7792569
Tibau do Sul;0;Rio Grande do Norte;RN;Nordeste;645;504;794;672;305193; 21964.26;14180;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;1;0;-35.0918639; -6.1868146
Belém;0;Paraíba;PB;Nordeste;592;492;759;557;170510;  9641.48;17676;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação;19;0;-35.5000999; -6.6906402
Cabedelo;0;Paraíba;PB;Nordeste;748;651;822;782;2895223; 42556.16;67736;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-34.8430206; -7.0402944
Campina Grande;0;Paraíba;PB;Nordeste;720;654;812;702;8648690; 21077.30;409731;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;10;0;-35.8808337; -7.2290752
João Pessoa;1;Paraíba;PB;Nordeste;763;693;832;770;19737917; 24319.82;809015;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;12;40000;-34.8450118; -7.1194958
Malta;0;Paraíba;PB;Nordeste;642;533;800;620;49595;  8754.55;5759;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;2;130687;-37.5321341; -6.8693545
Araçoiaba;0;Pernambuco;PE;Nordeste;592;498;765;544;139026;  6859.40;20524;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;1;0;-35.0924127; -7.7890434
Belém do São Francisco;0;Pernambuco;PE;Nordeste;642;553;784;611;203238;  9832.53;20729;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;1;114835;-39.0116869; -8.5494882
Cabo de Santo Agostinho;0;Pernambuco;PE;Nordeste;686;609;812;654;9964401; 48689.25;207048;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;1;0;-35.0304219; -8.2794398
Jaboatão dos Guararapes;0;Pernambuco;PE;Nordeste;717;642;830;692;13545569; 19463.25;702298;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-34.9208740; -8.1688125
Olinda;0;Pernambuco;PE;Nordeste;735;675;836;704;5438691; 13917.85;392482;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-34.8416216; -7.9907141
Petrolina;0;Pernambuco;PE;Nordeste;697;611;799;695;5990719; 17454.51;349145;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;4;0;-40.5030961; -9.3890830
Recife;1;Pernambuco;PE;Nordeste;772;698;825;798;51859618; 31743.72;1645727;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;28;96021;-34.9286096; -8.0522404
Santa Cruz do Capibaribe;0;Pernambuco;PE;Nordeste;648;506;806;667;1428396; 13505.89;107937;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-36.2064182; -7.9484331
Vitória de Santo Antão;0;Pernambuco;PE;Nordeste;640;543;768;629;3691943; 26835.27;138757;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;1;0;-35.2979382; -8.1286072
Aracaju;1;Sergipe;SE;Nordeste;770;708;823;784;16373280; 25185.55;657013;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;8;663922;-37.0730823;-10.9472468
Barra dos Coqueiros;0;Sergipe;SE;Nordeste;649;545;776;647;385554; 12935.03;30407;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;1;0;-37.0326534;-10.9000587
São Cristóvão;0;Sergipe;SE;Nordeste;662;581;800;624;909858; 10196.55;90072;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Construção;1;0;-37.2074411;-11.0119289
Barreiras;0;Bahia;BA;Nordeste;721;668;807;695;3889952; 24676.48;155439;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;1;0;-44.9953475;-12.1477483
Brotas de Macaúbas;0;Bahia;BA;Nordeste;570;445;754;552;76414;  6963.18;10231;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;1;0;-42.6303208;-12.0011499
Conde;0;Bahia;BA;Nordeste;560;451;705;551;304292; 11538.90;25837;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;1;0;-37.5683236;-11.8538988
Feira de Santana;0;Bahia;BA;Nordeste;712;619;820;710;13657295; 21765.41;614872;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;5;0;-38.9600762;-12.2535848
Porto Seguro;0;Bahia;BA;Nordeste;676;572;801;673;2820578; 18888.98;148686;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-39.0653656;-16.4443537
Salvador;1;Bahia;BA;Nordeste;759;679;835;772;62717483; 21231.48;2872347;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;16;29241;-38.5016301;-12.9777490
Santa Cruz Cabrália;0;Bahia;BA;Nordeste;654;571;784;624;394545; 13818.49;27778;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;2;0;-39.0236206;-16.2825282
Uauá;0;Bahia;BA;Nordeste;605;535;747;554;179976;  6983.13;24240;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;1;40000;-39.4797528; -9.8336723
Vitória da Conquista;0;Bahia;BA;Nordeste;678;581;788;681;6482663; 18589.99;338480;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-40.8445346;-14.8619237
Alfenas;0;Minas Gerais;MG;Sudeste;761;712;841;737;2664046; 33422.98;79996;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;3;0;-45.9470205;-21.4245173
Araguari;0;Minas Gerais;MG;Sudeste;773;716;871;740;4091891; 34840.91;117267;Demais serviços;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Indústrias de transformação;1;0;-48.1979912;-18.6458648
Araxá;0;Minas Gerais;MG;Sudeste;772;709;858;756;5141111; 49299.60;106229;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;2;0;-46.9442412;-19.5906483
Belo Horizonte;1;Minas Gerais;MG;Sudeste;810;737;856;841;88951168; 35245.02;2512070;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;325;32917879;-43.9344931;-19.9166813
Betim;0;Minas Gerais;MG;Sudeste;749;687;864;709;23088153; 54052.13;439340;Indústrias de transformação;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;3;48000;-44.2011904;-19.9673078
Carangola;0;Minas Gerais;MG;Sudeste;695;573;837;699;516515; 15391.25;33000;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-42.0299263;-20.7314751
Caratinga;0;Minas Gerais;MG;Sudeste;706;603;836;697;1608693; 17516.07;92062;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-42.1364490;-19.7888614
Carmo do Rio Claro;0;Minas Gerais;MG;Sudeste;733;649;850;715;451284; 21031.02;21225;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-46.1184521;-20.9733112
Conselheiro Lafaiete;0;Minas Gerais;MG;Sudeste;761;697;860;736;2125977; 16691.48;128589;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-43.7850227;-20.6639305
Contagem;0;Minas Gerais;MG;Sudeste;756;697;832;745;28988053; 44015.99;663855;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Indústrias de transformação;6;0;-44.0808763;-19.9161508
Coronel Fabriciano;0;Minas Gerais;MG;Sudeste;755;696;865;715;1648593; 14942.92;109855;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-42.6282537;-19.5190218
Cruzeiro da Fortaleza;0;Minas Gerais;MG;Sudeste;696;562;832;720;92905; 22258.02;3626;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;1;0;-46.6732883;-18.9469558
Curvelo;0;Minas Gerais;MG;Sudeste;713;617;851;689;1480513; 18534.68;80129;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-44.4306733;-18.7532048
Divinópolis;0;Minas Gerais;MG;Sudeste;764;702;844;753;6036935; 25695.97;238230;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-44.9716724;-20.1034440
Governador Valadares;0;Minas Gerais;MG;Sudeste;727;644;834;714;5886910; 20957.24;279885;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-41.9589601;-18.8547986
Ipatinga;0;Minas Gerais;MG;Sudeste;771;705;864;752;9662783; 36993.39;263410;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-42.5480120;-19.4707569
Itabira;0;Minas Gerais;MG;Sudeste;756;678;873;729;5220378; 43763.91;120060;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-43.2316363;-19.6244172
Itajubá;0;Minas Gerais;MG;Sudeste;787;718;884;767;3010826; 31039.44;96869;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;7;100000;-45.4591388;-22.4292698
Itaúna;0;Minas Gerais;MG;Sudeste;758;685;850;749;3028868; 32675.28;93214;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-44.5805309;-20.0822785
Ituiutaba;0;Minas Gerais;MG;Sudeste;739;644;840;745;2895226; 27698.62;104671;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-49.4600885;-18.9745738
Juatuba;0;Minas Gerais;MG;Sudeste;717;649;849;670;1201845; 46449.90;26946;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-44.3413836;-19.9433029
Juiz de Fora;0;Minas Gerais;MG;Sudeste;778;711;844;784;15985712; 28355.07;568873;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;32;1632986;-43.3436917;-21.7623644
Lagoa Santa;0;Minas Gerais;MG;Sudeste;777;693;857;790;1661110; 26899.69;64527;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-43.8983253;-19.6302907
Lavras;0;Minas Gerais;MG;Sudeste;782;719;880;757;2485868; 24341.66;103773;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;6;2418999;-45.0013747;-21.2484875
Mar de Espanha;0;Minas Gerais;MG;Sudeste;684;558;825;694;170434; 13374.73;12814;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;2;0;-43.0077186;-21.8622226
Mariana;0;Minas Gerais;MG;Sudeste;742;664;874;705;2897515; 48407.28;60724;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;3;0;-43.4150073;-20.3652719
Matias Barbosa;0;Minas Gerais;MG;Sudeste;720;616;862;703;505119; 34958.76;14468;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-43.3177168;-21.8680209
Montes Claros;0;Minas Gerais;MG;Sudeste;770;744;868;707;8966059; 22302.13;409341;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-43.8582139;-16.7286406
Muriaé;0;Minas Gerais;MG;Sudeste;734;634;853;731;2100138; 19349.51;108763;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-42.3702252;-21.1291403
Nova Lima;0;Minas Gerais;MG;Sudeste;813;704;885;864;9112333; 98855.84;94889;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;9;100000;-43.8485566;-19.9930478
Nova Módica;0;Minas Gerais;MG;Sudeste;630;527;779;610;42531; 11320.48;3600;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;1;0;-41.5007905;-18.4403488
Ouro Preto;0;Minas Gerais;MG;Sudeste;741;677;834;721;4644423; 62208.49;74281;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-43.5035777;-20.3855743
Padre Paraíso;0;Minas Gerais;MG;Sudeste;596;478;797;556;168829;  8367.40;20154;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;1;0;-41.4863191;-17.0734506
Paracatu;0;Minas Gerais;MG;Sudeste;744;685;854;704;3510748; 38000.86;93158;Demais serviços;Indústrias extrativas;Agricultura, inclusive apoio à agricultura e a pós colheita;1;0;-46.8722780;-17.2175165
Pará de Minas;0;Minas Gerais;MG;Sudeste;725;628;848;715;2744669; 29595.63;93969;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;1;0;-44.6075318;-19.8600145
Passos;0;Minas Gerais;MG;Sudeste;756;658;886;741;2387740; 20861.28;114679;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-46.6133353;-20.7221434
Patos de Minas;0;Minas Gerais;MG;Sudeste;765;698;855;749;4378966; 29020.34;152488;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;4;0;-46.5147373;-18.5872541
Patrocínio;0;Minas Gerais;MG;Sudeste;729;628;852;723;2707529; 30089.34;90757;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-46.9942484;-18.9379901
Poços de Caldas;0;Minas Gerais;MG;Sudeste;779;706;872;768;6365940; 38329.41;167397;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-46.5619303;-21.7853787
Resplendor;0;Minas Gerais;MG;Sudeste;670;543;833;666;221895; 12525.82;17397;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-41.2513767;-19.3244066
Ribeirão das Neves;0;Minas Gerais;MG;Sudeste;684;591;822;658;3855401; 11723.14;334858;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;1;0;-44.0853572;-19.7619024
Santa Luzia;0;Minas Gerais;MG;Sudeste;715;625;859;682;3785138; 17291.87;219134;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-43.9299434;-19.7878811
Santana do Paraíso;0;Minas Gerais;MG;Sudeste;685;552;878;663;490210; 14932.67;34663;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;1;0;-42.5493465;-19.3741185
Santa Rita do Sapucaí;0;Minas Gerais;MG;Sudeste;721;620;830;727;1559508; 36846.90;43260;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;5;1770906;-45.7035974;-22.2522523
São Gonçalo do Pará;0;Minas Gerais;MG;Sudeste;689;570;842;682;232566; 19404.77;12411;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-44.8580215;-19.9830855
São Joaquim de Bicas;0;Minas Gerais;MG;Sudeste;662;518;844;664;602735; 19984.58;31578;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-44.2753653;-20.0484521
São Sebastião do Paraíso;0;Minas Gerais;MG;Sudeste;722;613;836;735;1937431; 27468.44;70956;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-46.9841443;-20.9172128
Sete Lagoas;0;Minas Gerais;MG;Sudeste;760;705;840;742;8262636; 34977.38;239639;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-44.2416695;-19.4573800
Três Pontas;0;Minas Gerais;MG;Sudeste;731;643;850;714;1254491; 21971.22;56746;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-45.5113164;-21.3699248
Uberaba;0;Minas Gerais;MG;Sudeste;772;705;845;772;13152651; 40066.32;333783;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;4;634118;-47.9391540;-19.7473668
Uberlândia;0;Minas Gerais;MG;Sudeste;789;716;885;776;34201962; 50548.78;691305;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;61;2823059;-48.2754840;-18.9127534
Varginha;0;Minas Gerais;MG;Sudeste;778;707;875;760;5442563; 40506.11;135558;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Indústrias de transformação;1;23910;-45.4368543;-21.5560669
Viçosa;0;Minas Gerais;MG;Sudeste;775;696;883;758;1557426; 19869.94;78846;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;5;0;-42.8832763;-20.7473931
Cariacica;0;Espírito Santo;ES;Sudeste;718;628;844;699;7973675; 20584.24;381285;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-40.4203022;-20.2643105
Guarapari;0;Espírito Santo;ES;Sudeste;731;626;837;746;2160859; 17544.28;124859;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-40.4997382;-20.6741197
Itapemirim;0;Espírito Santo;ES;Sudeste;654;540;808;640;3127950; 90330.08;34348;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-40.9990597;-20.9829904
Marataízes;0;Espírito Santo;ES;Sudeste;696;588;847;676;1611924; 41684.11;38499;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-40.8317367;-21.0454850
Piúma;0;Espírito Santo;ES;Sudeste;727;643;852;702;475517; 22287.06;21711;Demais serviços;Indústrias extrativas;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-40.7357386;-20.8419866
Serra;0;Espírito Santo;ES;Sudeste;739;664;844;720;18538695; 36884.26;517510;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;3;0;-40.3054099;-20.1228954
Vila Velha;0;Espírito Santo;ES;Sudeste;800;734;864;807;10994894; 22605.19;493838;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;6;0;-40.2949528;-20.3477821
Vitória;1;Espírito Santo;ES;Sudeste;845;805;855;876;20255652; 55779.18;362097;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;15;1053174;-40.2957768;-20.2976178
Barra do Piraí;0;Rio de Janeiro;RJ;Sudeste;733;665;819;723;2026188; 20789.95;100374;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;5;0;-43.8393942;-22.4570139
Barra Mansa;0;Rio de Janeiro;RJ;Sudeste;729;657;819;720;4883051; 27211.05;184412;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-44.1772604;-22.5408519
Cabo Frio;0;Rio de Janeiro;RJ;Sudeste;735;640;836;743;8593977; 39781.41;226525;Demais serviços;Indústrias extrativas;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-42.0266493;-22.8869007
Campos dos Goytacazes;0;Rio de Janeiro;RJ;Sudeste;716;619;830;715;21088777; 43013.04;507548;Demais serviços;Indústrias extrativas;Administração, defesa, educação e saúde públicas e seguridade social;1;70000;-41.3184501;-21.7626682
Carmo;0;Rio de Janeiro;RJ;Sudeste;696;608;813;683;416837; 22822.87;18895;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;2;0;-42.6076037;-21.9314728
Duque de Caxias;0;Rio de Janeiro;RJ;Sudeste;711;624;833;692;40892161; 45894.84;919596;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;6;0;-43.3053106;-22.7862985
Itaguaí;0;Rio de Janeiro;RJ;Sudeste;715;638;814;703;7564819; 61819.73;133019;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-43.7779144;-22.8632126
Itaperuna;0;Rio de Janeiro;RJ;Sudeste;730;649;837;716;2705103; 27051.85;103224;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-41.8803055;-21.2001578
Macaé;0;Rio de Janeiro;RJ;Sudeste;764;681;828;792;15371353; 62961.48;256672;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;2;0;-41.9593241;-22.3233696
Niterói;0;Rio de Janeiro;RJ;Sudeste;837;773;854;887;27471324; 55049.66;513584;Demais serviços;Indústrias extrativas;Administração, defesa, educação e saúde públicas e seguridade social;4;0;-43.1152587;-22.8859267
Nova Friburgo;0;Rio de Janeiro;RJ;Sudeste;745;645;846;758;5014316; 27048.70;190631;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-42.5340796;-22.2887261
Nova Iguaçu;0;Rio de Janeiro;RJ;Sudeste;713;641;818;691;16833644; 21077.70;821128;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-43.4607419;-22.7561319
Petrópolis;0;Rio de Janeiro;RJ;Sudeste;745;639;847;763;12811831; 42958.85;306191;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;7;0;-43.1779306;-22.5112498
Resende;0;Rio de Janeiro;RJ;Sudeste;768;709;839;762;7731527; 60915.10;131341;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-44.4534080;-22.4713608
Rio Claro;0;Rio de Janeiro;RJ;Sudeste;683;567;801;700;346903; 19285.26;18529;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;2;0;-44.1344215;-22.7259473
Rio de Janeiro;1;Rio de Janeiro;RJ;Sudeste;799;719;845;840;337594462; 51776.18;6718903;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;506;309932501;-43.1728965;-22.9068467
Santo Antônio de Pádua;0;Rio de Janeiro;RJ;Sudeste;718;648;806;709;1049371; 25401.13;42479;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;1;0;-42.1967716;-21.5539712
São Gonçalo;0;Rio de Janeiro;RJ;Sudeste;739;681;833;711;17225904; 16408.34;1084839;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;2;0;-43.0637646;-22.8272883
São João de Meriti;0;Rio de Janeiro;RJ;Sudeste;719;646;831;693;9194527; 19968.09;472406;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-43.3699364;-22.7907664
Saquarema;0;Rio de Janeiro;RJ;Sudeste;709;621;804;714;2092721; 24569.66;89170;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-42.4866843;-22.9323820
Teresópolis;0;Rio de Janeiro;RJ;Sudeste;730;605;855;752;5085014; 28882.28;182594;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-42.9732217;-22.4178833
Três Rios;0;Rio de Janeiro;RJ;Sudeste;725;656;801;725;3714351; 46779.06;81804;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-43.2189459;-22.1170043
Volta Redonda;0;Rio de Janeiro;RJ;Sudeste;771;720;833;763;11304596; 42626.52;273012;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;4;0;-44.0770134;-22.4871853
Americana;0;São Paulo;SP;Sudeste;811;760;876;800;10382873; 44396.30;239597;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;6;0;-47.3336909;-22.7378894
Aparecida;0;São Paulo;SP;Sudeste;755;706;828;735;1048666; 28905.59;36157;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-45.2315651;-22.8468938
Araçatuba;0;São Paulo;SP;Sudeste;788;744;841;782;6970533; 35769.43;197016;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Indústrias de transformação;4;0;-50.4536793;-21.2028539
Araçoiaba da Serra;0;São Paulo;SP;Sudeste;776;723;860;751;668034; 20558.05;34146;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;1;0;-47.6085697;-23.5086476
Araraquara;0;São Paulo;SP;Sudeste;815;782;877;788;9009108; 39039.34;236072;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Indústrias de transformação;3;0;-48.1786486;-21.7848272
Assis;0;São Paulo;SP;Sudeste;805;781;865;771;3303948; 32100.85;104386;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;2;0;-50.4187813;-22.6604341
Atibaia;0;São Paulo;SP;Sudeste;765;670;851;786;6162799; 44119.90;142761;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;5;0;-46.5567066;-23.1175492
Bady Bassitt;0;São Paulo;SP;Sudeste;746;701;805;737;318703; 18921.96;17502;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-49.4487934;-20.9163728
Barra Bonita;0;São Paulo;SP;Sudeste;788;739;869;762;1387795; 38198.66;36126;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;2;131491;-48.5637543;-22.4729940
Barueri;0;São Paulo;SP;Sudeste;786;708;866;791;47553589;177747.83;274182;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Indústrias de transformação;45;10717405;-46.8729420;-23.5113691
