City;IsCapital;State;StateAbbrev;Region;IDHM;IDHMEducacao;IDHMLongividade;IDHMRenda;PIB;PIBperCapita;Population;Atividade1;Atividade2;Atividade3;QuantityStartups;TotalFundingAmount;Geocode.lon;Geocode.lat
Ribeirão Preto;0;São Paulo;SP;Sudeste;800;739;844;820;35315843; 51759.84;703293;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Indústrias de transformação;20;9264;-47.8103238;-21.1704008
Salesópolis;0;São Paulo;SP;Sudeste;732;690;829;687;200622; 11869.00;17139;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-45.8496137;-23.5339177
Santa Albertina;0;São Paulo;SP;Sudeste;728;665;809;716;194015; 32341.25;6008;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-50.7279229;-20.0331759
Santa Bárbara d'Oeste;0;São Paulo;SP;Sudeste;781;731;867;752;5494890; 28635.77;193475;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-47.4147585;-22.7557422
Santana de Parnaíba;0;São Paulo;SP;Sudeste;814;725;849;876;8583623; 65083.16;139447;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;2;0;-46.9226637;-23.4430047
Santo André;0;São Paulo;SP;Sudeste;815;769;861;819;27470680; 38408.12;718773;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;12;247000;-46.5436003;-23.6742228
Santos;0;São Paulo;SP;Sudeste;840;807;852;861;22532672; 51829.99;433311;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;6;0;-46.3367247;-23.9475247
São Bernardo do Campo;0;São Paulo;SP;Sudeste;805;752;861;807;44680389; 53998.54;838936;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;13;0;-46.5648481;-23.6898429
São Caetano do Sul;0;São Paulo;SP;Sudeste;862;811;887;891;13106959; 82119.69;161127;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;17;19000000;-46.5552433;-23.6233625
São Carlos;0;São Paulo;SP;Sudeste;805;766;863;788;10475655; 42568.73;251983;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;11;4107528;-47.8909263;-22.0087082
São José do Rio Preto;0;São Paulo;SP;Sudeste;797;748;846;801;16493968; 36599.83;460671;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;15;0;-49.3765210;-20.8127115
São José dos Campos;0;São Paulo;SP;Sudeste;807;764;855;804;39829404; 56638.69;721944;Indústrias de transformação;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;49;7534484;-45.9009074;-23.2237010
São Paulo;1;São Paulo;SP;Sudeste;805;725;855;843;699288352; 57759.39;12252023;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;2152;5479256976;-46.6333094;-23.5505199
São Pedro;0;São Paulo;SP;Sudeste;755;674;863;741;741439; 21245.90;35653;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-47.9058019;-22.5508681
Sertãozinho;0;São Paulo;SP;Sudeste;761;672;855;768;5362996; 43728.51;125815;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;1;0;-47.9901370;-21.1379949
Sorocaba;0;São Paulo;SP;Sudeste;798;762;843;792;31852858; 48271.34;679378;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;30;1341237;-47.4525603;-23.5015299
Sumaré;0;São Paulo;SP;Sudeste;762;705;845;744;13744576; 50345.14;282441;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;4;2300090;-46.6851971;-23.5444153
