Ano;State;Region;PIB;"PIB Y-1";"Growing Tax"
2006;Piauí;Nordeste;13360477.00;10711833.00;0.247263
2006;"Rio de Janeiro";Sudeste;299738178.00;269830066.00;0.110841
2006;"Rio Grande do Norte";Nordeste;22890129.00;19966918.00;0.146403
2006;"Rio Grande do Sul";Sul;147622599.00;136362779.00;0.082573
2006;Rondônia;Norte;13054717.00;12511820.00;0.043391
2006;Roraima;Norte;3802452.00;3193432.00;0.190710
2006;"Santa Catarina";Sul;91063451.00;81549236.00;0.116668
2006;"São Paulo";Sudeste;824529297.00;743042946.00;0.109666
2006;Sergipe;Nordeste;16419800.00;14430117.00;0.137884
2006;Tocantins;Norte;8655612.00;7707343.00;0.123034
2007;Acre;Norte;5458172.00;4661806.00;0.170828
2007;Alagoas;Nordeste;19871270.00;17395671.00;0.142311
2007;Amapá;Norte;6012522.00;5280824.00;0.138558
2007;Amazonas;Norte;43479774.00;39933214.00;0.088812
2007;Bahia;Nordeste;109329529.00;95347798.00;0.146639
2007;Ceará;Nordeste;50818757.00;46500321.00;0.092869
2007;"Distrito Federal";Centro-oeste;93404001.00;84661406.00;0.103265
2007;"Espírito Santo";Sudeste;60658397.00;53463871.00;0.134568
2007;Goiás;Centro-oeste;71410569.00;61375409.00;0.163505
2007;Maranhão;Nordeste;30730865.00;29710646.00;0.034338
2007;"Mato Grosso";Centro-oeste;38027577.00;30700168.00;0.238677
2007;"Mato Grosso do Sul";Centro-oeste;30084766.00;26667893.00;0.128127
2007;"Minas Gerais";Sudeste;240355233.00;212659551.00;0.130235
2007;Pará;Norte;51846874.00;45983028.00;0.127522
2007;Paraíba;Nordeste;22909807.00;20838014.00;0.099424
2007;Paraná;Sul;165208891.00;137648307.00;0.200225
2007;Pernambuco;Nordeste;62459325.00;55485296.00;0.125691
2007;Piauí;Nordeste;13736088.00;13360477.00;0.028114
2007;"Rio de Janeiro";Sudeste;323698284.00;299738178.00;0.079937
2007;"Rio Grande do Norte";Nordeste;26318261.00;22890129.00;0.149765
2007;"Rio Grande do Sul";Sul;168009754.00;147622599.00;0.138103
2007;Rondônia;Norte;14438378.00;13054717.00;0.105989
2007;Roraima;Norte;4203303.00;3802452.00;0.105419
2007;"Santa Catarina";Sul;103728095.00;91063451.00;0.139075
2007;"São Paulo";Sudeste;935653183.00;824529297.00;0.134773
2007;Sergipe;Nordeste;18218448.00;16419800.00;0.109541
2007;Tocantins;Norte;10192840.00;8655612.00;0.177599
2008;Acre;Norte;6410256.00;5458172.00;0.174433
2008;Alagoas;Nordeste;22262296.00;19871270.00;0.120326
2008;Amapá;Norte;6950413.00;6012522.00;0.155990
2008;Amazonas;Norte;48115262.00;43479774.00;0.106613
2008;Bahia;Nordeste;121667451.00;109329529.00;0.112851
2008;Ceará;Nordeste;60415575.00;50818757.00;0.188844
2008;"Distrito Federal";Centro-oeste;110299557.00;93404001.00;0.180887
2008;"Espírito Santo";Sudeste;72091161.00;60658397.00;0.188478
2008;Goiás;Centro-oeste;82417571.00;71410569.00;0.154137
2008;Maranhão;Nordeste;37932400.00;30730865.00;0.234342
2008;"Mato Grosso";Centro-oeste;49202503.00;38027577.00;0.293864
2008;"Mato Grosso do Sul";Centro-oeste;36219258.00;30084766.00;0.203907
2008;"Minas Gerais";Sudeste;278607621.00;240355233.00;0.159149
2008;Pará;Norte;60956984.00;51846874.00;0.175712
2008;Paraíba;Nordeste;26889570.00;22909807.00;0.173714
2008;Paraná;Sul;185683865.00;165208891.00;0.123934
2008;Pernambuco;Nordeste;70413939.00;62459325.00;0.127357
2008;Piauí;Nordeste;16203336.00;13736088.00;0.179618
2008;"Rio de Janeiro";Sudeste;378285801.00;323698284.00;0.168637
2008;"Rio Grande do Norte";Nordeste;28898860.00;26318261.00;0.098054
2008;"Rio Grande do Sul";Sul;190229820.00;168009754.00;0.132255
2008;Rondônia;Norte;17285543.00;14438378.00;0.197194
2008;Roraima;Norte;4841864.00;4203303.00;0.151919
2008;"Santa Catarina";Sul;121477256.00;103728095.00;0.171112
2008;"São Paulo";Sudeste;1042510170.00;935653183.00;0.114206
2008;Sergipe;Nordeste;21418376.00;18218448.00;0.175642
2008;Tocantins;Norte;12116395.00;10192840.00;0.188716
2009;Acre;Norte;7407821.00;6410256.00;0.155620
2009;Alagoas;Nordeste;24182389.00;22262296.00;0.086249
2009;Amapá;Norte;7490654.00;6950413.00;0.077728
2009;Amazonas;Norte;50559841.00;48115262.00;0.050807
2009;Bahia;Nordeste;137942482.00;121667451.00;0.133767
2009;Ceará;Nordeste;67199960.00;60415575.00;0.112295
2009;"Distrito Federal";Centro-oeste;124323753.00;110299557.00;0.127146
2009;"Espírito Santo";Sudeste;69215362.00;72091161.00;-0.039891
2009;Goiás;Centro-oeste;92865740.00;82417571.00;0.126771
2009;Maranhão;Nordeste;40994571.00;37932400.00;0.080727
2009;"Mato Grosso";Centro-oeste;52693413.00;49202503.00;0.070950
2009;"Mato Grosso do Sul";Centro-oeste;39517745.00;36219258.00;0.091070
2009;"Minas Gerais";Sudeste;287443855.00;278607621.00;0.031716
2009;Pará;Norte;61665093.00;60956984.00;0.011617
2009;Paraíba;Nordeste;30230409.00;26889570.00;0.124243
2009;Paraná;Sul;196675610.00;185683865.00;0.059196
2009;Pernambuco;Nordeste;79760953.00;70413939.00;0.132744
2009;Piauí;Nordeste;18926265.00;16203336.00;0.168047
2009;"Rio de Janeiro";Sudeste;391650859.00;378285801.00;0.035331
2009;"Rio Grande do Norte";Nordeste;30941054.00;28898860.00;0.070667
2009;"Rio Grande do Sul";Sul;204344950.00;190229820.00;0.074200
2009;Rondônia;Norte;19725009.00;17285543.00;0.141128
2009;Roraima;Norte;5671975.00;4841864.00;0.171445
2009;"Santa Catarina";Sul;129098538.00;121477256.00;0.062738
2009;"São Paulo";Sudeste;1127093821.00;1042510170.00;0.081135
2009;Sergipe;Nordeste;21707244.00;21418376.00;0.013487
2009;Tocantins;Norte;13689810.00;12116395.00;0.129858
2010;Acre;Norte;8342356.00;7407821.00;0.126155
2010;Alagoas;Nordeste;27133035.00;24182389.00;0.122016
2010;Amapá;Norte;8237794.00;7490654.00;0.099743
2010;Amazonas;Norte;60877125.00;50559841.00;0.204061
2010;Bahia;Nordeste;154419544.00;137942482.00;0.119449
2010;Ceará;Nordeste;79336306.00;67199960.00;0.180600
2010;"Distrito Federal";Centro-oeste;144174102.00;124323753.00;0.159667
2010;"Espírito Santo";Sudeste;85310281.00;69215362.00;0.232534
2010;Goiás;Centro-oeste;106770107.00;92865740.00;0.149725
2010;Maranhão;Nordeste;46309630.00;40994571.00;0.129653
2010;"Mato Grosso";Centro-oeste;56600957.00;52693413.00;0.074156
2010;"Mato Grosso do Sul";Centro-oeste;47270652.00;39517745.00;0.196188
2010;"Minas Gerais";Sudeste;351123420.00;287443855.00;0.221537
2010;Pará;Norte;82684518.00;61665093.00;0.340864
2010;Paraíba;Nordeste;33522490.00;30230409.00;0.108900
2010;Paraná;Sul;225205247.00;196675610.00;0.145059
2010;Pernambuco;Nordeste;97189752.00;79760953.00;0.218513
2010;Piauí;Nordeste;22269147.00;18946445.00;0.175373
2010;"Rio de Janeiro";Sudeste;449858101.00;391650859.00;0.148620
2010;"Rio Grande do Norte";Nordeste;36184501.00;30941054.00;0.169466
2010;"Rio Grande do Sul";Sul;241249165.00;204344950.00;0.180598
2010;Rondônia;Norte;23907884.00;19725009.00;0.212059
2010;Roraima;Norte;6639150.00;5671975.00;0.170518
2010;"Santa Catarina";Sul;153726009.00;129098538.00;0.190765
2010;"São Paulo";Sudeste;1294695991.00;1127093821.00;0.148703
2010;Sergipe;Nordeste;26404894.00;21707244.00;0.216409
2010;Tocantins;Norte;16404814.00;13689810.00;0.198323
2011;Acre;Norte;8949433.00;8342356.00;0.072770
2011;Alagoas;Nordeste;31657324.00;27133035.00;0.166745
2011;Amapá;Norte;9409226.00;8237794.00;0.142202
2011;Amazonas;Norte;70734402.00;60877125.00;0.161921
2011;Bahia;Nordeste;166602807.00;154419544.00;0.078897
2011;Ceará;Nordeste;89695826.00;79336306.00;0.130577
2011;"Distrito Federal";Centro-oeste;154568954.00;144174102.00;0.072099
2011;"Espírito Santo";Sudeste;105976223.00;85310281.00;0.242244
